date, pm25, pm10, o3, no2, so2
2016/9/29, 3, 14, 41, 10, 
2016/9/30, 2, 10, 31, 9, 
2016/4/1, 2, 30, 9, 11, 
2016/4/2, 3, 32, 29, 12, 
2016/4/3, 3, 33, 31, 14, 
2016/4/4, 4, 20, 28, 13, 
2016/4/5, 3, 5, 31, 7, 
2016/4/6, 1, 10, 28, 11, 
2016/4/7, 1, 9, 29, 10, 
2016/4/8, 1, 21, 20, 11, 
2016/4/9, 2, 20, 35, 8, 
2016/4/10, 2, 17, 31, 15, 
2016/4/11, 3, 9, 39, 12, 
2016/4/12, 2, 5, 33, 10, 
2016/4/13, 1, 4, 33, 10, 
2016/4/14, 1, 7, 21, 16, 
2016/4/15, 2, 7, 30, 9, 
2016/4/16, 2, 3, 29, 8, 
2016/4/17, 1, 4, 26, 10, 
2016/4/18, 1, 12, 30, 12, 
2016/4/19, 2, 18, 37, 13, 
2016/4/20, 2, 23, 36, 17, 1
2016/4/21, 3, 18, 42, 15, 
2016/4/22, 3, 12, 31, 8, 
2016/4/23, 2, 9, 31, 6, 
2016/4/24, 1, 5, 33, 6, 
2016/4/25, 1, 5, 33, 6, 
2016/4/26, 1, 5, 33, 7, 
2016/4/27, 1, 8, 35, 12, 
2016/4/28, 2, 14, 41, 12, 
2016/4/29, 2, 16, 40, 14, 1
2016/4/30, 2, 9, 29, 6, 
2016/5/1, 1, 15, 27, 11, 
2016/5/2, 2, 17, 31, 10, 
2016/5/3, 2, 11, 43, 9, 
2016/5/4, 1, 8, 46, 5, 
2016/5/5, 1, 13, 53, 12, 
2016/5/6, 2, 14, 59, 13, 
2016/5/7, 2, 16, 55, 12, 
2016/5/8, 2, 13, 45, 13, 
2016/5/9, 2, 14, 41, 12, 
2016/5/10, 2, 22, 25, 13, 
2016/5/11, 3, 6, 34, 8, 
2016/5/12, 1, 2, 32, 9, 
2016/5/13, 1, 9, 41, 9, 
2016/5/14, 2, 13, 36, 6, 
2016/5/15, 1, 9, 34, 5, 
2016/5/16, 1, 9, 38, 7, 
2016/5/17, 1, 12, 43, 12, 
2016/5/18, 2, 3, 34, 5, 
2016/5/19, 1, 7, 37, 9, 
2016/5/20, 2, 10, 42, 12, 
2016/5/21, 2, 12, 47, 8, 
2016/5/22, 2, 2, 37, 4, 
2016/5/23, 1, 5, 27, 7, 
2016/5/24, 1, 11, 34, 8, 
2016/5/25, 1, 12, 47, 11, 
2016/5/26, 2, 18, 53, 12, 
2016/5/27, 3, 12, 37, 7, 
2016/5/28, 2, 8, 33, 6, 
2016/5/29, 1, 4, 33, 4, 
2016/5/30, 1, 4, 38, 5, 
2016/5/31, 1, 7, 34, 10, 
2016/6/1, 2, 4, 31, 6, 
2016/6/2, 1, 4, 25, 7, 
2016/6/3, 1, 4, 26, 5, 
2016/6/4, 1, 7, 31, 7, 
2016/6/5, 1, 9, 43, 11, 
2016/6/6, 2, 14, 42, 14, 
2016/6/7, 3, 8, 33, 12, 
2016/6/8, 2, 11, 34, 10, 
2016/6/9, 2, 11, 53, 9, 
2016/6/10, 2, 9, 37, 7, 
2016/6/11, 2, 6, 25, 4, 
2016/6/12, 1, 4, 23, 6, 
2016/6/13, 1, 3, 20, 6, 
2016/6/14, 1, 5, 25, 6, 
2016/6/15, 1, 6, 22, 10, 
2016/6/16, 1, 3, 32, 6, 
2016/6/17, 1, 4, 31, 5, 
2016/6/18, 1, 5, 31, 5, 
2016/6/19, 1, 8, 38, 8, 
2016/6/20, 2, 6, 26, 7, 
2016/6/21, 1, 7, 30, 7, 
2016/6/22, 2, 13, 60, 13, 
2016/6/23, 3, 21, 55, 13, 
2016/6/24, 3, 8, 35, 5, 
2016/6/25, 1, 8, 31, 4, 
2016/6/26, 1, 5, 38, 6, 
2016/6/27, 1, 12, 38, 8, 
2016/6/28, 2, 12, 36, 10, 
2016/6/29, 2, 11, 28, 9, 
2016/6/30, 2, 16, 38, 8, 
2016/1/5, 1, 5, 20, 11, 
2016/1/6, 1, 5, 18, 10, 
2016/1/7, 1, 6, 21, 13, 
2016/1/8, 2, 8, 20, 19, 
2016/1/9, 3, 7, 13, 16, 
2016/1/10, 2, 7, 30, 11, 
2016/1/11, 2, 3, 28, 11, 
2016/1/12, 1, 2, 28, 4, 
2016/1/13, 1, 4, 27, 5, 
2016/1/14, 1, 7, 16, 15, 
2016/1/15, 2, 4, 26, 5, 
2016/1/16, 1, 8, 20, 9, 
2016/1/17, 1, 7, 24, 11, 
2016/1/18, 2, 14, 14, 21, 
2016/1/19, 3, 19, 12, 26, 1
2016/1/20, 3, 26, 3, 27, 1
2016/1/21, 5, 25, 11, 22, 
2016/1/22, 4, 27, 14, 21, 1
2016/1/23, 3, 14, 15, 20, 1
2016/1/24, 3, 15, 8, 21, 
2016/1/25, 4, 22, 4, 29, 2
2016/1/26, 6, 19, 4, 28, 2
2016/1/27, 6, 16, 6, 24, 2
2016/1/28, 5, 22, 4, 25, 1
2016/1/29, 5, 20, 4, 22, 1
2016/1/30, 5, 12, 27, 11, 
2016/1/31, 2, 1, 26, 5, 
2016/2/1, 1, 3, 23, 5, 
2016/2/2, 1, 6, 26, 9, 
2016/2/3, 1, 3, 25, 8, 
2016/2/4, 1, 3, 23, 6, 
2016/2/5, 1, 6, 19, 14, 
2016/2/6, 3, 14, 11, 20, 1
2016/2/7, 5, 10, 26, 12, 
2016/2/8, 4, 4, 27, 6, 
2016/2/9, 1, 5, 35, 11, 
2016/2/10, 2, 3, 34, 5, 
2016/2/11, 1, 6, 28, 10, 
2016/2/12, 1, 9, 25, 9, 
2016/2/13, 1, 4, 31, 7, 
2016/2/14, 1, 3, 28, 6, 
2016/2/15, 1, 12, 10, 15, 
2016/2/16, 3, 13, 10, 12, 
2016/2/17, 2, 17, 8, 13, 
2016/2/18, 2, 20, 17, 15, 
2016/2/19, 3, 13, 19, 13, 
2016/2/20, 2, 5, 26, 7, 
2016/2/21, 1, 3, 26, 6, 
2016/2/22, 1, 20, 24, 13, 
2016/2/23, 2, 18, 25, 5, 
2016/2/24, 1, 12, 21, 16, 
2016/2/25, 2, 11, 7, 23, 
2016/2/26, 3, 19, 24, 14, 
2016/2/27, 2, 28, 16, 15, 
2016/2/28, 3, 26, 14, 13, 
2016/2/29, 4, 25, 15, 16, 
2016/3/1, 5, 27, 27, 15, 
2016/3/2, 3, 9, 24, 11, 
2016/3/3, 2, 3, 29, 8, 
2016/3/4, 1, 10, 20, 16, 
2016/3/5, 2, 7, 19, 16, 
2016/3/6, 2, 6, 27, 6, 
2016/3/7, 1, 8, 30, 10, 
2016/3/8, 1, 11, 19, 15, 
2016/3/9, 2, 21, 22, 17, 
2016/3/10, 3, 33, 26, 22, 1
2016/3/11, 4, 39, 23, 13, 
2016/3/12, 4, 29, 22, 8, 
2016/3/13, 3, 18, 23, 5, 
2016/3/14, 2, 19, 22, 9, 
2016/3/15, 3, 26, 20, 15, 
2016/3/16, 3, 17, 21, 8, 
2016/3/17, 2, 26, 19, 18, 
2016/3/18, 4, 30, 27, 26, 1
2016/3/19, 5, 33, 32, 23, 1
2016/3/20, 4, 51, 18, 13, 
2016/3/21, 4, 41, 16, 16, 
2016/3/22, 3, 32, 29, 16, 
2016/3/23, 3, 23, 20, 16, 
2016/3/24, 3, 23, 25, 15, 
2016/3/25, 2, 19, 28, 11, 
2016/3/26, 2, 7, 34, 7, 
2016/3/27, 2, 5, 29, 8, 
2016/3/28, 1, 8, 30, 8, 
2016/3/29, 1, 8, 23, 12, 
2016/3/30, 2, 16, 29, 19, 
