date, pm25, pm10, o3, no2, so2, co
2020/7/15, 120, 60, 4, 12, 8, 11
2020/7/16, 106, 63, 5, 12, 7, 12
2020/7/17, 132, 66, 4, 12, 8, 11
2020/7/18, 119, 45, 2, 11, 8, 10
2020/7/19, 97, 53, 8, 13, 8, 11
2020/7/20, 77, 45, 3, 12, 7, 10
2020/7/21, 90, 39, 3, 12, 7, 10
2020/7/22, 97, 62, 6, 15, 7, 12
2020/7/23, 114, 81, 9, 14, 7, 11
2020/7/24, 142, 65, 3, 10, 7, 11
2020/7/25, 111, 75, 3, 13, 8, 11
2020/7/26, 131, 82, 3, 16, 8, 10
2020/7/27, 110, 67, 2, 12, 10, 11
2020/7/28, 80, 65, 3, 14, 8, 10
2020/7/29, 75, 49, 3, 13, 7, 10
2020/7/30, 58, 70, 4, 15, 6, 10
2020/7/31, 118, 58, 4, 16, 8, 12
2020/6/1, 105, , , , , 
2020/6/3, 139, 104, 10, 18, 9, 14
2020/6/4, 156, 72, 36, 13, 9, 13
2020/6/5, 117, 68, 43, 14, 9, 12
2020/6/6, 105, 64, 25, 12, 9, 11
2020/6/7, 102, 78, 30, 13, 11, 13
2020/6/8, 131, 87, 21, 16, 11, 14
2020/6/9, 142, 113, 16, 21, 10, 15
2020/6/10, 134, 82, 12, 14, 10, 13
2020/6/11, 135, 90, 10, 14, 10, 14
2020/6/12, 150, 76, 8, 15, 8, 13
2020/6/13, 141, 83, 5, 13, 11, 15
2020/6/14, 148, 82, 24, 12, 13, 13
2020/6/15, 130, 76, 28, 14, 10, 13
2020/6/16, 108, 68, 20, 11, 10, 12
2020/6/17, 102, 69, 15, 12, 10, 13
2020/6/18, 111, 119, 11, 13, 9, 13
2020/6/19, 138, 74, 12, 13, 12, 12
2020/6/20, 105, 73, 9, 15, 11, 13
2020/6/21, 121, 62, 18, 13, 11, 14
2020/6/22, 123, 72, 6, 11, 10, 13
2020/6/23, 99, 67, 8, 9, 12, 11
2020/6/24, 98, , , , , 
2020/6/26, 114, 102, 5, 14, 11, 13
2020/6/27, 117, 175, 6, 14, 11, 12
2020/6/28, 128, 111, 9, 12, 9, 11
2020/6/29, 111, 85, 11, 11, 10, 11
2020/6/30, 135, 80, 14, 11, 9, 12
2020/5/1, 151, 79, 22, 9, 5, 13
2020/5/2, 99, 62, 13, 9, 5, 12
2020/5/3, 96, 45, 23, 9, 5, 13
2020/5/4, 81, 72, 23, 12, 6, 13
2020/5/5, 126, 106, 26, 11, 6, 13
2020/5/6, 144, 58, 32, 10, 5, 13
2020/5/7, 93, 76, 36, 11, 5, 13
2020/5/8, 124, 83, 33, 10, 6, 13
2020/5/9, 140, 103, 42, 10, 5, 11
2020/5/10, 114, 68, 36, 11, 5, 11
2020/5/11, 120, 70, 34, 11, 6, 12
2020/5/12, 123, 104, 32, 12, 6, 15
