date, pm25
2019/9/9, 137
2019/9/10, 146
2019/9/11, 159
2019/9/12, 136
2019/9/13, 90
2019/9/14, 78
2019/9/15, 102
2019/9/16, 139
2019/9/17, 140
2019/9/18, 98
2019/9/19, 68
2019/9/20, 89
2019/9/21, 100
2019/9/22, 74
2019/9/23, 91
2019/9/24, 95
2019/9/25, 88
2019/9/26, 59
2019/9/27, 45
2019/9/28, 61
2019/9/29, 50
2019/9/30, 82
2019/4/1, 133
2019/4/2, 137
2019/4/3, 144
2019/4/4, 161
2019/4/5, 170
2019/4/6, 152
2019/4/7, 199
2019/4/8, 149
2019/4/9, 155
2019/4/10, 158
2019/4/11, 148
2019/4/12, 137
2019/4/13, 122
2019/4/14, 123
2019/4/15, 127
2019/4/16, 127
2019/4/17, 63
2019/4/18, 99
2019/4/19, 148
2019/4/20, 159
2019/4/21, 147
2019/4/22, 169
2019/4/23, 163
2019/4/24, 158
2019/4/25, 167
2019/4/26, 161
2019/4/27, 160
2019/4/28, 173
2019/4/29, 175
2019/4/30, 167
2019/5/1, 174
2019/5/2, 161
2019/5/3, 178
2019/5/4, 161
2019/5/5, 190
2019/5/6, 183
2019/5/7, 188
2019/5/8, 218
2019/5/9, 218
2019/5/10, 197
2019/5/11, 184
2019/5/12, 276
2019/5/13, 268
2019/5/14, 125
2019/5/15, 147
2019/5/16, 138
2019/5/17, 145
2019/5/18, 108
2019/5/19, 159
2019/5/20, 162
2019/5/21, 149
2019/5/22, 134
2019/5/23, 159
2019/5/24, 106
2019/5/25, 109
2019/5/26, 124
2019/5/27, 124
2019/5/28, 129
2019/5/29, 136
2019/5/30, 146
2019/5/31, 155
2019/6/1, 164
2019/6/2, 154
2019/6/3, 143
2019/6/4, 130
2019/6/5, 151
2019/6/6, 145
2019/6/7, 126
2019/6/8, 132
2019/6/9, 151
2019/6/10, 132
2019/6/11, 166
2019/6/12, 129
2019/6/13, 120
2019/6/14, 116
2019/6/15, 156
2019/6/16, 117
2019/6/17, 104
2019/6/18, 91
2019/6/19, 163
2019/6/20, 102
2019/6/21, 150
2019/6/22, 148
2019/6/23, 104
2019/6/24, 75
2019/6/25, 127
2019/6/26, 152
2019/6/27, 153
2019/6/28, 136
2019/6/29, 143
2019/6/30, 153
2019/1/2, 319
2019/1/3, 328
2019/1/4, 375
2019/1/5, 292
2019/1/6, 282
2019/1/7, 227
2019/1/8, 233
2019/1/9, 235
2019/1/10, 202
2019/1/11, 209
2019/1/12, 297
2019/1/13, 287
2019/1/14, 301
2019/1/15, 158
2019/1/16, 181
2019/1/17, 280
2019/1/18, 371
2019/1/19, 283
2019/1/20, 280
2019/1/21, 281
2019/1/22, 210
2019/1/23, 119
2019/1/24, 199
2019/1/25, 203
2019/1/26, 154
2019/1/27, 169
2019/1/28, 200
2019/1/29, 175
2019/1/30, 194
2019/1/31, 250
2019/2/1, 267
2019/2/2, 226
2019/2/3, 246
2019/2/4, 205
2019/2/5, 181
2019/2/6, 237
2019/2/7, 247
2019/2/8, 138
2019/2/9, 127
2019/2/10, 164
2019/2/11, 222
2019/3/19, 124
2019/3/20, 161
2019/3/21, 146
2019/3/22, 184
2019/3/23, 99
2019/3/24, 123
2019/3/25, 132
2019/3/26, 140
2019/3/27, 142
2019/3/28, 139
2019/3/29, 161
